StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q19,Q47,Q50,Q22,Q23,Q54,Q56,Q30,Q59,Q32,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,Q62,Q17,Random ID
2021-02-24 20:37:05,2021-02-24 20:53:52,IP Address,76.116.237.38,100,1007,TRUE,2021-02-24 20:53:52,R_1lzUQOtraRJhiCY,,,,,39.63800048828130,-74.772796630859400,anonymous,EN,Go straight and make a right when you hit the wall. ,Go to the purple key,Go to the blue key and then the purple box,Pick up the blue key,Open the green door,Go to the blue door,Pick up and drop the yellow ball and then go to the blue door,Pick up the red key and open the blue door,Move the gray ball and then open the blue door,Go through the blue door and move the green box. ,Go to the green ball,Place the red ball next to the yellow box,Go to the red box. ,Go to the purple key,1,Place the green box next to the green ball.,Go to the gray ball. ,Go to the red ball. ,Go to the gray key. ,3,Pick up the green key and go to the purple box,Go to the room with the purple key and green key. ,Move the yellow ball away from the door. ,Stand next to the red door. ,2,Go to the purple ball. ,Open the green door that leads to the green key. ,Pick up the red box,Pick up the green box and head to the green door. ,Open the purple door and head to the gray ball. ,1,I found the task to be straightforward. ,72038
2021-02-24 20:17:01,2021-02-24 21:00:52,IP Address,35.138.76.64,100,2631,TRUE,2021-02-24 21:00:53,R_3KPiEaFYCc8oh5T,,,,,28.0330963134766000,-81.9391021728516000,anonymous,EN,Move to the left side of the red circle and point to it.,Go to the purple key.,Go to the blue key and use it to unlock the door.,Get the blue key,Go to the next room to the right,Go to a purple door,Go to the yellow ball and then the blue door.,Pick up the red key and place it next to the yellow box and open the purple door.,Put a ball  next to the blue key and then pick up the green key,Move the green box to another room.,go to the green ball,Pick up the red ball and take it to the yellow box,Go to a red box,Go to a purple key,1,Pick up the green box and take it to the green ball,go to the grey ball,go to the red ball,open a grey door and go to a grey key,3,pick up a green key and open a blue door,pick up a yellow box before opening a grey door,pick up a purple ball before picking up a yellow ball,pick up a yellow box before opening a red door,2,pick up a blue ball before opening a green door,pick up a grey box before opening three green doors,take a blue key to a yellow box before picking up a red box ,open a blue door and pick up a green box,pick up a red box before going to a grey ball,3,none,58232
2021-02-24 20:34:07,2021-02-24 21:01:03,IP Address,173.79.40.200,100,1615,TRUE,2021-02-24 21:01:03,R_skgsqawjHqmIJnH,,,,,39.082794189453100,-77.16739654541020000,anonymous,EN,Go up three spaces and then turn right.,Go to the purple key,"pick up the blue key and use it to open the blue door, drop the key and pick up the purple box.",move the blue key,open the green door.,go to the blue door.,pick up and drop the yellow circle and then go to the blue door.,pick up red key and then go to the purple key.,pick up grey ball and then open blue door.,"open yellow door, purple door, green door, purple door, green door, blue door and then go to purple circle.",go to the green ball,pick up red ball and put it next to yellow box.,open blue door and then go to the red box.,go to purple key,1,pick up green box and put it above the green ball.,go to grey ball.,open purple door and go to the red ball.,open grey door and then go to grey key.,3,pick up green key and go to the blue ball.,pick up the yellow box and then go pass the open blue door to the purple key,go to the yellow door,go to the red door.,2,go to the purple ball,go to the grey box,pick up blue key and put it next to the yellow box and pick up red box and go to blue door,pick up green box and go to green door.,go to grey ball,4,I have no additional comments.,55062
2021-02-24 20:14:18,2021-02-24 21:07:08,IP Address,67.172.52.203,100,3170,TRUE,2021-02-24 21:07:08,R_cUSNYm0IMdRKno5,,,,,41.4355010986328000,-79.690399169921900,anonymous,EN,Move to the red circle.,Get the purple key.,Open the locked blue door and then go to the purple box.,Move the blue key beside the purple box and above the yellow ball.,Open the green door.,Open a red door.,Pick up the yellow ball and put it back down then go to the blue door.,Move the red key diaganol from the yellow box and then go to the blue door.,Put the gray ball next to the blue key then go to the green key,Open the purple door then go to the purple ball.,Go to the green ball.,Place the red ball by the yellow box.,Go to a red box.,Go to the purple key.,1,Pick up the green box and put it next to the green ball.,Go to a gray ball.,Go to the red ball.,Go to a gray ball then go to a grey key.,3,Pick up and carry the green key then go next to the blue ball and purple box.,Pick up the yellow box and carry it and go next to the purple  key by the gray ball.,Go to the yellow door.,Pick up the yellow box then go to the red door.,2,Go to the purple ball.,Take a gray box and go next to the green key.,Put the blue key next to the yellow box then take the red box and go to the blue door.,Take a green box and then go to the green door.,Pick up the red box then go to the gray ball.,4,"Some of the videos when they end show a tiny bit of a new environment which was confusing. In the training you say pick up for both picking up a box and putting it right back down, and when the robot picks up the box and moves with it. I tried to follow what the training did, but it was kind of confusing. Sometimes it wasn't always clear what the final action was as the video ends instantly.",21335
2021-02-24 20:47:24,2021-02-24 21:10:20,IP Address,98.208.23.218,100,1375,TRUE,2021-02-24 21:10:20,R_A5p8mNsEpgqC7DP,,,,,39.727203369140600,-121.812896728516000,anonymous,EN,"Up three squares, then to the right one square",Go to the purple key,Go to the key,Move the blue key,Go to the room with the yellow ball,Go to the blue door,Go to the yellow ball and go to the blue door,Go through the yellow door then go back and move the red key and go through the blue door to the purple key,Pick up the grey ball and put it by the blue key,"Go through the blue door, move the green box and go to the purple key",Go to the purple ball then the green ball,Put the red ball by the yellow box,Go to the red box,Go to the purple key,1,Put the green box by the green ball,Go to the grey ball that's by the yellow ball,Go through the purple door to the red ball,Go to the grey key,3,Go through the blue door to the blue ball,Pick up the yellow box and go to the room with the green and purple key,Go through the green door and pick up the yellow ball,Pick up the yellow box then go to the red door,2,Move the blue ball then go through a green door to the purple ball,Go through a green door to the room with the green key,Pick up the red box,Go through a blue door and pick up a green box,Go through a purple door to the grey ball,2,"This was kind of fun, thanks!",90969
2021-02-24 20:15:22,2021-02-24 21:11:59,IP Address,45.4.199.17,100,3397,TRUE,2021-02-24 21:12:00,R_3DkzkE0u2gN744x,,,,,40.75030517578130,-74.00140380859380,anonymous,EN,go to the red ball,go to the purple key,pick up the purple nox,put the blue key and next to the yellow ball,open a green door,go to the red box and reach the blue door,pick up a ball and open the blue door,pick up the purple key after open the blue door,"put the grey ball and next to a key and open a door ,go the green key",pick up a bal and go to the purple key.pick up the green box and go to the purple ball,go to the green ball,go to the red ball ,go to the purple door after reach the red door,go to the purple key,1,put the green door,go to the grey ball,go to the yellow door and open a door.again go to the yellow door and reach the purple door,open a door and reach the grey key,3,"put the blue key and go to the green door.open the purple door and reach the yellow door,pick up the green door put the green key ","go to the red door and pick up a door ,after reach the blue door and go to  the green door",pick up a door and put the purple ball.pick up a green door after reach the yellow ball,go to the grey ball,2,go to the red door and reach the blue ball,go to the purple door and reach the blue door after a pick up the green doors and you will reach the green key,go to the purple door and reach blue door.put  the grey ball and after put the blue key.open a red door,go to the blue door and reach red door,pick up a red doors and go to the blue doors .go to  the grey ball,2,good,46092
2021-02-24 19:54:58,2021-02-24 21:13:27,IP Address,68.198.160.172,100,4708,TRUE,2021-02-24 21:13:27,R_1yMaRBU3dL6KXYJ,,,,,40.8878936767578000,-73.008697509765600,anonymous,EN,up andright,go to the purple key,"go to the blue key, and then to the blue box and then to the next box",go to the blue key,go to the blue key,open the green doors ,go to the yellow ball,pick up the green ball and open the red door ,drop the grey balll beside the blue key and open the geen door,move the green box and stsy next to the red box,go to the green ball,pick up the red ball and go to the yellow box,go to the red ball abd go to the purple box,go to the purple key,1,pick up the green box and drop it by the green ball,go to the grey ball,go to the red ball,go to the grey key,3,pick up the green key and go to the purple box,pick up the yellow box and go to the purple key,pick up the purple ball and go to the yellow ball,pick up and drop the yellow box and go to the purple ball,2,pick up the blue ball and go to the purple ball,pick up the grey box and go to another grey box,"move the grey ball , move the blue key to the yellow box and pick up the red box",pick up the green box ,go to the grey ball,4,interesting task,89044
2021-02-24 20:29:42,2021-02-24 21:13:37,IP Address,73.218.7.246,100,2635,TRUE,2021-02-24 21:13:37,R_2AYXc54PfBfccKm,,,,,41.53619384765630,-72.0832977294922000,anonymous,EN,Go to the red circle.,Grab the purple key,unlock the purple chest,move the blue key,Go through the southern green door,Go through the blue door,Go to the yellow circle and go to the blue door,"Place the red key next to the yellow box, then go to the purple key","Drop the grey ball next to the blue key, then go to the green key.","Go through a yellow door, then pick up the green box and place it next to the red key.",Go to the green ball,Place the red ball next to the yellow box,Go to a red box.,Go to the purple key,1,Pick up the green box and place it next to the green ball,Go to the red box,"Go through the green door, then go to the red ball","Go to a grey ball, then go to a grey key",3,"Pick up the blue key, then pick up the green key and go to a purple chest","Pick up a green key, then go to a green chest, then pick up a gold chest","Move a purple ball, then move a yellow ball.","Pick up the yellow chest, drop it, and go to the red door",2,"Move the blue ball, then go to the purple ball","Pick up a grey chest, then go to a grey chest","Move a grey ball, then place the blue key next to a yellow box, then pick up the red box",Pick up the green box,"Pick up and drop a red box, then go to a grey ball",3,"Several videos failed to load towards the end of the study, necessitating using Youtube.",93790
2021-02-24 19:49:46,2021-02-24 21:14:38,IP Address,161.35.141.121,100,5092,TRUE,2021-02-24 21:14:38,R_UQQDsoBjfYEQNJD,,,,,40.836395263671900,-74.14029693603520000,anonymous,EN,Take the red triangle three steps up.,Go to the purple key,go to the purple key and open the blue door,pick up the blue key,get to the box with yellow ball,open all green doors,open the blue door,open the blue door,pick the ball place it next to blue key and open the door,open rhe green gate open get to the blue box,go to green ball,take the red ball next to red box,go to green box,go to the purple key,1,go to the green box,go to the grey ball,open the door to the yellow ball and door to the red ball,go to a grey key,3,take the green key to where there is a green ball,take the yellow box,pick the yellow ball,go to the purple ball,2,go to the purple ball,go to the green key,take the blue key next to the  yellow box,take the green box,go to the grey ball,4,thank you for the opportunity.,43243
2021-02-24 20:07:13,2021-02-24 21:18:35,IP Address,172.58.136.216,100,4282,TRUE,2021-02-24 21:18:35,R_33wmVZXoel6o1Rf,,,,,41.6963043212891000,-87.65760040283200000,anonymous,EN,Go up three steps then turn right.,Go to the purple key.,Use the blue key on the blue door.,Open the purple box.,Go to the green door.,Open the blue door.,Got the yellow dot then open the blue door.,Open the purple door.,Place the gray ball next to the blue key then grab the green key.,Go to the room with three boxes.,Go the next to the green ball.,Place the red ball next to the yellow box.,Go next to the red and green boxes.,Go next the the purple key and yellow ball.,1,"Place the green box between yellow box, yellow ball, and green ball.",Go to the left of red box.,Go next to the red and gray balls.,Go the the nearest gray key.,3,Grab the green key then go to the nearest blue ball.,Grab the yellow box then go to the gray ball.,Open the yellow door.,Go between the red door and purple ball.,2,Open the blue door.,Open all the green doors and then grab the green key.,Grab the red box then go to the gray ball.,Open the yellow door then grab the green box.,Reach the red box then go to the gray ball.,2,Great.,20498
2021-02-24 21:19:48,2021-02-24 21:50:49,IP Address,173.49.144.21,100,1860,TRUE,2021-02-24 21:50:49,R_1ibrZIH4pPxBBGa,,,,,40.6027069091797000,-75.4777984619141000,anonymous,EN,very interesting,very useful red ball,red ball go to purple,red ball go to blue key,red ball go to green box,red ball go to green key,red ball go to yellow ball,red ball go to purple key,red ball go to red key,red ball go to purple ball,red ball go to green ball,red ball go to red ball,red ball go to red door,red ball go to purple key,2,robot go to green door,robot go to ash ball,robot go to red ball,robot go to ash key,1,robot go to blue ball,robot go to purple key,robot go to red ball,robot go to ash ball,5,robot go to purple key,robot go to green key,robot go to red door,robot go to green board,robot go to red ball,3,very useful,37757
2021-02-24 20:57:43,2021-02-24 21:55:13,IP Address,157.51.95.206,100,3450,TRUE,2021-02-24 21:55:13,R_1C3c64bEqKNQXlK,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,go to red ball,go to the purple key,pick up the purple box,put the blue key next to the yellow ball,open a green door,open all green door,go to the yellow ball and open blue door,pick up the purple key after you open the blue door,"put the grey ball next to a key, then open a door and go to the green key","pick up a blue ball and go to a purple key, then pick up the green box and go to the purple ball",go to green ball,go to red ball,open all door and pick up red box,go to the purple kry,1,go to the  green box,pick up red box and go to gray ball, open the blue door and go to the red ball,open the door and pick up keys,3,"pick up green key, open the door",pick up the yellow box  after you open the door, pick up a yellow ball and go to open the door,pick up the yellow box then open the door,2,open the door then pick up a blue ball,open the all door and go to the green key then open the door,pick up red box and collect keys then open the door,go to the green box and open the green door,go to the box and keys and open the door,3,very interesting and gain knowledge survey,93582
2021-02-24 21:20:48,2021-02-24 21:57:53,IP Address,177.188.114.23,100,2225,TRUE,2021-02-24 21:57:54,R_1lzYsMFi2sPs01J,,,,,-23.4947052001953000,-46.8661956787109000,anonymous,EN,head north until the end the turn east,go to the purple key,open the blue door with the blue key to meet the purple square,take the blue key to the yellow circle,open the green door,scan six rooms,go to the yellow ball then go to the blue door,open the yellow door then go to the purple key,"pick the grey ball then put it near the blue key, then go to the green key",go through all doors but one,go to the green ball,put the red ball next to the yellow square,go to the closest red square,go to the purple key,1,put the green box next to the green ball,go to the closest grey ball,go to the red ball,go to the closest grey ball then go to the grey key,3,"pick up the blue key, put it down, then pick up the green key and go to the blue ball",pick up the yellow box the go to the grey ball,"pick up a purple ball, put it down, then pick up a yellow ball and put it down",go to the red door,2,go to the purple ball,pick up the grey square then go to the green key,pick up the blue key and put it next to the yellow square then pick up the red square and go to the grey ball,"go to the yellow door, pick up the green square then go to the green door",pick up the red square and put it down then go to the grey ball,3,nice AI :),66290
2021-02-24 21:19:36,2021-02-24 22:15:57,IP Address,103.25.46.30,100,3381,TRUE,2021-02-24 22:15:57,R_2CNf2BTDadO8uN4,,,,,11.4557037353516000,77.47601318359380,anonymous,EN,move forward,go straight 3 blocks and turn left move forward one block,back 2 block and get down,move forward one block and turn left move forward ,move 3 block and turn right,  move forward turn right ,go straight and turn right reach the red box ,turn right pick up the ball get back to the door ,go straight pick up the key and get back to the door ,go to the ball and open the door and get the key ,pick up the green ball,pick up the red ball and go to the red door ,open the purple door and go to the another purple door ,pick up the purple key ,1,pick up the green box ,pick the grey ball ,open the blue door pick up the grey key,pick up the grey key ,3,open the green box and pick up the green key ,open the blue door pick up the green box ,open the green door pick the blue ball and get down the ball and open the door pick up the yellow ball and get down the ball ,open the blue door ,2,open the red door pick up the blue ball and get down the blue ball ,pick up the grey box open the door and open the blue door and open the both green door,open the blue door pick up the grey ball down the grey ball pick up the blue key and down the key ,pick up the green box ,open the red door pick up the grey ball ,3,good study ,10481
2021-02-24 21:19:42,2021-02-24 22:38:00,IP Address,49.37.209.191,100,4698,TRUE,2021-02-24 22:38:00,R_2q1LdTQpXENQAhI,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,you can right but arrow right side you are win the goal,in the actions is good but light up your are win the goal,its awesome the purble key goal win ,the goal is purble key reached ,red arrow reached to green box,red arrow reached to green box ,red arrow reached to yellow ball,pick up the 3 blue door and win the goal,red arrow reached to blue door,red arrow reached the green door,the red arrow go to the green box,put the red ball in red arrow,red arrow reached to red door,red arrow reached out the purple key,1,red arrow reached to green door,put the gray ball reached to the red arrow,four door open and reached the red door to red arrow,put the gray ball and three door open out the gray ball reached red arrow,3,red arrow open teh three door and reached to purple key,four door open the red arrow and reached gray ball,fourdoor open the red arrow and reached the purple ball and yellow ball,red arrow can not reached the ball and doors,5,red arrow reached the blue ball,red arrow reached to gray door,red arrow open the three door and  reached the gray ball and yellow key,open the one door and yellow door reached to red arrow,red arrow open the 4 door and reached to red door and blue key,1,good,50726
2021-02-24 21:41:09,2021-02-24 22:42:16,IP Address,73.143.88.218,100,3667,TRUE,2021-02-24 22:42:17,R_1EYRQCLQYJfjbjJ,,,,,41.493896484375,-73.05169677734380,anonymous,EN,move next to and face the ball,move to the purple key,"pick up the blue key, open the blue door with the blue key, drop the blue key, and then pick up the purple box.",move the blue key to between yellow ball and purple box ,open the green door,go to the blue door,pick up and drop the yellow ball then go to the blue door,open the yellow door then go to the purple key,place the gray ball next to the blue key then go to the green key,open the purple door then move the green box into the room with the red key,go to the green ball,pick up the red ball and place it next to the yellow box,go to the red box,go to the purple key,1,place the green box next to the green ball,go to the gray ball,open a green door then go to the red ball,go to a gray ball then go to a gray key,3,pick up and drop a blue key then pick up a green key and go to a blue ball,pick up and drop a green key then pick up a yellow box and move to a gray ball,go to the yellow door,pick up and drop the yellow box and then go to the red door,2,go to the purple ball,pick up a gray box then go to the green key,place the blue key next to the yellow box and then pick up a red box and go to a blue door,pick up a green box and go to the green door,pick up and drop a red box then go to the gray ball,2,"Just a small suggestion but it might be helpful to directly host the robot videos on Qualtrics rather than have them embedded in the study via YouTube. I frequently paused and rewatched the videos to ensure that I didn't miss anything and every time that happens on YouTube, a banner pops up with suggested videos. It gets repetitive to manually dismiss that suggested video banner again and again in order to see the map. I think all browsers nowadays can play .mp4s directly in them and so it could be useful to bypass hosting videos on YouTube entirely. Additionally, the video compression (likely the result of YouTube) made it a bit hard to discern between the yellow and green objects. The green ended up a bit too yellow-green. Perhaps a more contrasting color like magenta could be used.",77628
2021-02-24 21:41:18,2021-02-24 22:49:54,IP Address,98.231.137.130,100,4116,TRUE,2021-02-24 22:49:54,R_3ndBnBOgxrixjqH,,,,,39.6248931884766000,-75.8350982666016000,anonymous,EN,go straight and turn right,go to the purple key,go to the blue square,go to the purple key,move around the cell,unlock doors,go to the yellow ball,pick a ball and move to the door,move to the blue door,go to the green door,go to the green ball,take the red ball and put it in the yellow door,open the blue doors and go to the red square,go to the purple key,1,pick the green box and put it in front of green ball,go to the grey ball,open the doors and go to the red ball,open the doors and go to the grey key,3,go around and  find the green key and pick the key and put it in the grey box,take the red box and put it in the grey ball,shift the balls that near the doors,move to the red door,2,pick the blue ball and move to the next sell,pick the grey box and put it on the last sell,take the blue key and put it in the yellow box,open the blue door and pick the green box,open the red doors and move to the grey ball,3,na,45904
2021-02-24 22:19:20,2021-02-24 22:51:27,IP Address,49.205.82.150,100,1926,TRUE,2021-02-24 22:51:27,R_2Spp19004qDGoNp,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,go to the red ball,go to the purple key,open to the boxes,go to the blue key,pick up the yellow box to go to the yellow and blue key finally pick up the green box,open a green door,pickup the yellow color open a blue door,open a door then pick up the red key,open the blue door then pickup a green key,open the doors then finally reach the blue key,pick up the purple ball then reach green ball,pick up the red ball and red key then reach red ball,"open the grey door and purple door ,blue door then reach the red door",pick up the  purple key,1,open the green door then reach green door,pick up the red door then reach the red ball,open the green door,open the grey door,3,pick up the blue key,open the grey door,open the green door ,go to the yellow door,2,open the green door,open the green door,open the purple door,open the blue door,open the red door,3,good,55020
2021-02-24 22:00:02,2021-02-24 22:53:07,IP Address,49.205.82.150,100,3184,TRUE,2021-02-24 22:53:07,R_1ILxmvhrysBNMjp,,,,,13.0579071044922000,80.192108154296900,anonymous,EN,"YES,ROBOT GIVES INSTRUCTIONS",GO TO THE KEY,GO TO THE BLUE BOX,PICK UP THE PURPLE KEY,PICK UP THE BLUE KEY,OPEN THE TWO YELLOW DOORS,GO TO THE YELLOW BALL,OPEN THE DOOR AND PICK UP THE KEY,GO TO THE PURPLE KEY AND PICK UP YELLOW KEY,OPEN THE DOOR AND GO TO THE PURPLE KEY AND THEN PICK UP PURPLE BALL,GO TO THE GREEN BALL,GO TO THE RED BALL,PICKUP THE GREW BALL AND GO TO THE DOOR,GO TO THE PURPLE KEY,2,OPEN THE GREEN DOOR,GO TO THE GREW BALL,OPEN THE THREE GREEN DOOR AND GO TO THE  RED BALL,PICKUP THE GREW BALL,3,GO TO THE PURPLE KEY AND OPEN THE FOUR GREEN DOOR THEN REACH THE GREEN KEY,GO TO THE GREEN KEY THEN REACH GREEN DOOR,OPEN  THE DOOR AND PICKUP PURPLE BALL,GO TO THE PURPLE BALL,2,PICKUP THE PURPLE BALL,OPEN THE DOORS THEN AGAIN OPEN THAT SAME DOORS,PICKUP THE GREW BALL AND GO TO THE PURPLE KEY,OPEN THE GREEN DOOR,OPEN THE GREEN DOOR AND GO TO THE GREW BALL,3,GOOD,31898
2021-02-24 22:25:33,2021-02-24 23:04:00,IP Address,131.150.90.61,100,2306,TRUE,2021-02-24 23:04:01,R_6DOuIQ3bgjoW4HD,,,,,42.46380615234380,-123.346405029297000,anonymous,EN,Good try,Try Another way,Archive more,Nice Try,Different way,Search More,Go and enter blue box,Go and pick red ball,Enter blue box,Enter all the door,Go and pick green ball,Go and pick the red ball,Enter blue door go to red door,Go and pick the purple color key,1,Go to enter the green door,Go to pick Gray ball,Go to enter final stage in yellow door,Pick gray ball and enter near door,3,Go and enter the all door with out blue,Without yellow door all the door enter,Go enter near door final pick yellow ball,Just travel same block,2,Enter near door pick green ball,Enter the gray door then follow green door,Enter the door pick gray ball,Same block enter green door,Two block travel in enter red door,3,Very Interesting study,88424
2021-02-24 22:51:24,2021-02-24 23:13:24,IP Address,73.37.143.103,100,1319,TRUE,2021-02-24 23:13:24,R_277oL6NBAXwV5tV,,,,,45.128997802734400,-93.37529754638670000,anonymous,EN,Turn right and move forward to find the red circle.,Go to the purple key.,"Go to the blue key, open the blue door, go to the purple window.",Move the blue key.,Open the green door.,Go to the blue door,"Pick up and put down the yellow ball, then go to the blue door",Find a purple key,Move the grey ball then open a blue door,Go to the purple ball,Pick up a green ball,Pick up a red ball and place it next to a yellow box,Go to a red box,Go to a purple key,1,Pick up a green box and put it next to a green ball,Go to a grey ball,Go to a red ball,Go to a grey key,3,Pick up a green key then go to a blue ball,Pick up a yellow box then go to a grey ball,Go to a yellow door,Pick up and put down a yellow box then go to a red door,2,Go to a purple ball,Pick up a grey box then go to a green key,"Pick up and put down a blue key, then pick up a red box","GO through a blue door, then pick up a green box, then go to a green door","Pick up a red box, put it down, then go to a grey ball",2,,89629
2021-02-24 22:49:52,2021-02-24 23:39:30,IP Address,24.95.181.46,100,2977,TRUE,2021-02-24 23:39:30,R_3hnbOolfGWJ3SqM,,,,,38.473602294921900,-82.64129638671880,anonymous,EN,go to the red ball,find the purple key,"go to the blue key, pick up the blue key, unlock the blue door",place the blue key in front of the purple box,go to the green door,go to the blue door,pick up the yellow ball and go to the blue door,"pick up the red key, go to the purple key","put the grey ball by the blue key, go through the blue door",put the green box by the blue key,go to the green ball,put the red ball next to the yellow box,go to the green box,go to the purple key,1,put the green box next to the green ball,go to the grey ball,go to the red ball,go to the grey key,3,pick up the green key and go to the blue ball,pick up the yellow box and go to the grey ball,pick up the yellow ball and go to the yellow door,go to the red door,2,go to the purple ball,pick up the grey box and go to the other grey box,"pick up the red box, go to the blue door","pick up the green box, go to the green door",go to the grey ball,4,"It was difficult to decide which commands/actions to include in the last 5 or 6 videos.  I read the instructions, but I still wasn't sure what counted as a ""final"" action.  So, I usually included 2 final actions in the last set of videos.",69305
2021-02-25 01:47:41,2021-02-25 02:41:54,IP Address,170.84.48.254,100,3253,TRUE,2021-02-25 02:41:54,R_33CMMwgGtFJGMqM,,,,,-22.92010498046880,-43.3307037353516000,anonymous,EN,Explore the room in search of the red ball,Go to the purple key,Get the purple box,Place the blue key near the purple box,Open the green door,Open all doors that are found,Take the yellow ball and leave it in the same place then open the blue door,Change the red key location and open the blue door,Take the gray ball and leave it near the blue key then open the blue door,"Take the green box and put it in another room, then go to the purple ball",Go to the green ball,Leave the red ball near the yellow box,Go to the red box,Find the purple key,1,Drop the green box next to the green ball,Go to the gray ball,Find the red ball,Go to the gray key,3,Take the green key and go to the purple box,Take the yellow box and go to the purple key,Change the purple ball location and then change the yellow ball location,"Take the yellow box and leave it in the same place, then go to the red door",2,Change the blue ball location and then go to the purple ball,Take the gray box and go to the green key,Leave the blue key near the yellow box and take the red box,Take the green box and go to the green door,"Take the red box and leave it in the same place, then go to the gray ball",2,There is nothing I can add.,31623
2021-02-25 11:10:37,2021-02-25 11:35:23,IP Address,71.112.129.246,100,1486,TRUE,2021-02-25 11:35:23,R_1gOMSUBNj6bpeIo,,,,,40.329498291015600,-79.61440277099610000,anonymous,EN,go to red ball,avoid the keys and go to the ball,go to the blue key,go to the blue key,go to the green door,go through the blue door,click the yellow ball,grab the red key put in new place,pick up gray ball place near blue key,grab green box and go through blue door,go to the green ball,place red ball near the yellow box,go to the red box,go to the purple key,1,place the green box next to the green ball,go to the gray ball,go to the red ball,go to the gray key,3,"pick up and place the blue key, then pick up and hold the green key","pick up and put down the green key, then pick up and hold the yellow box","pick up and place the purple ball, then pick up and place the yellow ball",pick up then put down the yellow box,2,pick up and place the blue ball,pick up and hold the gray box,"pick up and move the gray ball back, then pick up the blue key and place it by the yellow box, then pick up and hold the red box",pick up the and hold the green box,"pick up and drop the red box, then go to the gray ball",3,"This was interesting and fun, but at times, I was a little confused on what to type.",48311
2021-02-25 11:05:13,2021-02-25 11:50:05,IP Address,73.169.119.154,100,2691,TRUE,2021-02-25 11:50:06,R_1BNTFMnp4iIKi2t,,,,,39.5883941650391000,-105.07759857177700000,anonymous,EN,Move upward three spaces and move right on space to get to target.,"move two spaces to right, move down three spaces, move right three spaces, move up one space for purple key",go to purple key and then go to purple box,go to purple key,go to green door,go to green key,go to yellow ball,go to blue door go to blue key,"go to gray bell, pick up blue key, go through blue door, pick up green key",go to blue door and pick up purple ball,pick up green ball,"pick up red ball, drop red ball above yellow box",go to red box,pick up purple key,1,"pick up green box, drop green box above green ball",pick up gray ball,pick up red ball,pick up gray key,3,"pick up green key, drop between yellow ball and blue door","pick up yellow box, drop at purple key","pick up purple ball, drop purple ball two spaces from fray door, pick up yellow ball, ",pick up purple ball,2,"pick up blue ball, drop blue ball two spaces from red door","pick up gray box, drop gray box at green key","pick up gray ball, pick up blue key,drop gray ball two spaces from purple door, pick up red box","pick up green box, ","pick up red box, drop red box, pick up gray ball, ",3,,97359
2021-02-25 11:15:52,2021-02-25 11:56:03,IP Address,172.114.169.143,100,2410,TRUE,2021-02-25 11:56:03,R_1I4QQO4ZQLYzu2Z,,,,,34.0251007080078000,-118.15560150146500000,anonymous,EN,Move up 3 squares and turn right,Go to the purple key ,Go to blue key then go to blue box ,Take blue key to yellow ball,Open green box,Go to blue door,go to yellow ball then to blue door ,"open yellow door, open purple door, move red key, go to purple key","move grey ball to blue key, get green  key","Go to purple key, move green door",go to green ball,move red ball to yellow box,"go to green ball, go to red box",go to purple key ,1,take green box to green ball ,go to grey ball ,go to red ball,go to grey ball then go to grey key,3,"go to blue key, open yellow door, grab green key, take to between purple box and blue ball ","go to green key, move  yellow box",move yellow ball ,touch yellow box,2,open green door ,"go to red ball, open green door,  go to green key","take blue key to yellow box, pick up red box",move green box,"touch red box, open blue door, go to grey ball",2,None,71378
2021-02-25 11:16:53,2021-02-25 12:01:05,IP Address,192.243.109.118,100,2651,TRUE,2021-02-25 12:01:05,R_1lbEP4zbKlhk4Iz,,,,,37.751007080078100,-97.82199859619140000,anonymous,EN,Go to the red ball,go to the purple key,"Get the key, open the blue door, drop the key, go to the pink box",move the blue key,go to the room with the yellow ball,go to the room with the yellow box,pick up the yellow ball and go to the blue door,Open the yellow door and put the red key next to the yellow box and go to the purple key,put they gray bell next to the blue key and go to the green key,Go to the purple ball,Go to the green ball,Put the red ball next to the yellow box,Go to a red box,Go to the purple key,1,Put the green box next to the green ball,Go to a gray ball,Go to the red ball,Go to a gray key,3,Pick up a blue key and then a green key and go to a blue ball,Pick up a green key and a yellow box and then go to a purple key,Open a purple door and then go to a yellow door,Pick up the yellow box and then go to a red door,2,Open a red door and go to the purple ball,Pick up a gray box and go to a green key,Put the blue key next to the yellow box and pick up a red box,Go to a yellow box and then pick up a green box,Pick up a red box and then go to a gray ball,4,"This was definitely a challenging study, but I enjoyed participating and tried my best. Thank you!!!!",33804
