StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q31,Q17,Random ID
2021-05-06 14:46:15,2021-05-06 15:06:12,IP Address,103.154.203.15,100,1196,TRUE,2021-05-06 15:06:13,R_DCQ6Dw0280b2hY5,,,,,11.14239501953130,77.342193603515600,anonymous,EN,go to the green ball,pick red ball then put red ball to near yellow box,go to the red box,go to the purple key ,1,go to the green box then pick green box the go to green ball then put next to green box,go to grey ball,go to the red ball,go the the grey key ,3,go to the green key then pick ,pick the green box,"open the purple door  then go to the green ball, then go to the red box",go to the red gate,2,go the the blue ball,go to the green key ,pick  the red box,pick the green box,go the the grey ball,4,interesting ,93049
2021-05-06 14:46:39,2021-05-06 15:06:14,IP Address,76.221.209.152,100,1174,TRUE,2021-05-06 15:06:15,R_9pNnXCWhDCaqAzn,,,,,42.2967071533203000,-85.20659637451170000,anonymous,EN,Go to the green ball,Put the red ball in front of the yellow box,"Go down, then left, then up, then left, then stop in front of the red box",Go to a purple key,1,"Go to the green box, pick up the green box, then put it above the green ball","go to the red box, then the gray ball","go through the yellow door, then through the purple door, then go through the green door, go through the yellow door, then find the red ball",go through the gray door and find the gray key,3,pick up a green key,go to a purple key,"pick up a purple ball, pick up a yellow ball, put down the yellow ball",go through a red door,2,"pick up a blue ball, go to a purple ball","pick up a gray box, go to a green key","pick up the blue key, go to a red box",pick up a green box,"go through a blue door, go to the gray ball",5,"some of the instructions DID NOT MATCH the videos. Also for a handful of the videos, there was a split second at the end where there was a screenshot of a totally different board/maze but it was impossible to pause on it before Youtube stopped and put up its 'related video' ads, so I honestly have no idea what that was for, if THAT was the end state you wanted us to look at, or if it was a poor editing job. This was not a great HIT, I'm really confused.",13039
2021-05-06 14:49:48,2021-05-06 15:08:25,IP Address,162.221.219.100,100,1116,TRUE,2021-05-06 15:08:25,R_2f8uphxa0NTWZ8d,,,,,38.093597412109400,-84.5009002685547000,anonymous,EN,stop at the green ball,put the red ball down in front of the yellow box,Go through the doors until you find the red box,Go to the purple key,1,go to the yellow ball and go past the blue key and pick up the green box and put it across from the yellow box,"go to the red box and turn towards the blue ball, then go to the gray ball","go through the yellow, blue, and gray door to get to the red ball",go through the gray door and stop at the gray key,3,Go through the blue door and stop at the blue ball,Pick up yellow box and take through the gray door,"Go through green door, pick up yellow ball and put it back down",Go to purple ball,2,Go through green door and go to purple ball,Pick up purple box and go to yellow key,Pick up red box and walk past yellow key,pick up green box and go to green door,Go through purple door and go to gray ball,4,I'm not colorblind but it was difficult to tell the purple from the gray on the board in the videos.,40491
2021-05-06 14:58:26,2021-05-06 15:12:58,IP Address,98.167.97.5,100,871,TRUE,2021-05-06 15:12:58,R_2b2iUkBLmLwJaSh,,,,,36.2624969482422000,-115.1732025146480000,anonymous,EN,Proceed to the green dot.,Put the red ball by the yellow box.,Go to the far left middle room by the red box,Go the the right of the purple key.,1,Get the green box and put it above the green ball.,Go the the left of the red box.,Go the the red ball in the farthest right middle room.,Go to the silver key in the middle top room.,3,"Pick up blue key and go through the green door , but go back and go through the purple and yellow door afterwards going to the right green door following them until you get the green key and going into the blue room.",Go the the purple key,move the yellow ball in the bottom middle room,Go to the red door,2,go to the purple ball,Go to the green key,Pickup the orange box,pickup the green box,Go to the grey ball,5,The instructions were confusing. It stated that to only describe the final action but not the entire sequence. The comments made though contradicted that and described the entire sequence. So I was not entirely sure what was expected.,90488
2021-05-06 14:45:31,2021-05-06 15:13:18,IP Address,191.101.133.189,100,1666,TRUE,2021-05-06 15:13:19,R_eV6qX5kVymiHRn3,,,,,40.7122955322266000,-74.00679779052730000,anonymous,EN,Move three spaces down and click on box with key.,Click on the red dot.,Find the square box with two rectangles by moving through the board.,Go to the purple box with two rectangles.,1,"Go to yellow dot, then blue key, then click on green box to move it to another location","move to red box, then to blue dot and land at gray circle.","enter through yellow door, green door to red dot.","Go through first grey door, second grey door to grey key.",3,There is a green key in one of the rooms.,Open the doors with keys in the room.,Click on the purple and yellow dots.,Click on the yellow box,2,"Open the red door, the open the green door.",Enter green door and click on green key,Pick up red box and move the key,Open purple door and pick up green box,open purple door and get grey ball,5,The colors I chose was different than your colors.,60614
2021-05-06 14:46:02,2021-05-06 15:14:08,IP Address,24.142.157.242,100,1685,TRUE,2021-05-06 15:14:08,R_vdj7KpVN75YB1lv,,,,,41.0413055419922000,-83.6461029052734000,anonymous,EN,"Red triangle moves right twice, then down one, then right twice, and turns up towards green circle. ","Go to red ball, then go to yellow box and release red ball. ",Go to red cabinet ,go to purple key,1,go to purple key then go to green box then go and place green bok under yellow box,go to blue ball then go to grey ball,go through door pass yellow key go through door pass green ball go through door pass yellow ball go through door pass grey key go through door pass purple key go through door to red ball,"go through door, go through door, go through door to grey key",3,"touch blue key go through green door, go through yellow door, go through green door, go through green door, go through green door, pick up green key, go through blue door to purple box",pick up yellow box take to grey ball,"go through green door pick up purple ball go through green door and drop purple ball, go through green door pick up and drop off yellow ball. ",Touch yello box then go through red door. ,2,go through red door and pick up blue ball,go through purple door pick up grey box then go to green key,go to grey ball and pick up grey ball and drop off by yellow key,pick up green box,go through red door and pick up red key go to grey ball.,4,I hope I learned to do the task better over time but I am not sure. ,30695
2021-05-06 14:57:08,2021-05-06 15:18:46,IP Address,73.240.82.174,100,1297,TRUE,2021-05-06 15:18:46,R_2E48DedfDdyqLd2,,,,,44.592803955078100,-123.27459716796900,anonymous,EN,Move to the upper right green ball,Go to a red ball and put it by the yellow box,Go to the red box,Go to the purple key,1,Put the green box by the green ball,Go to the grey ball,Go to the red ball,Go to the grey key,3,Bring the green key to the blue ball,go to the grey ball,Pick up and put down the yellow ball,Go to the purple ball,2,Go to the purple ball,Go to the green key,Pick up the red box,Go towards the green box,Go to the grey ball,3,"Very weird and confusing. The instructions said to only provide a command for the last action, but then it would correct me and say a better command would have been: ""_____"" which explained all the actions, not just the last one. Further, some of them didn't even match the actions in the video....",30917
2021-05-06 14:46:07,2021-05-06 15:21:25,IP Address,157.34.8.97,100,2117,TRUE,2021-05-06 15:21:25,R_3m3sN79BdRnjCDZ,,,,,23.2653961181641000,77.39599609375,anonymous,EN,Go to the blue ball,Pick up the red ball and place it near the yellow box,Go to the red box in the left-middle section,Go to purple key,1,"Pickup green box and place it in between green ball, yellow ball and yellow box",Go to red box then go to blue ball then go to grey ball on top,Go through the yellow door then go through the green door then go to the red ball,Go through the grey door then go to the grey key,3,go to blue and grey box,Pick up the yellow box then go to the purple key,Pickup the blue ball then open the green door then pickup the yellow ballup the,Pickup the yellow box and go to the red door,2,Go to the purple ball,Pickup the grey box and put it near the green key,Pickup blue key then put it next to yellow box then pickup red box,Open blue door then pickup green box,Pickup a red box then go to a grey ball,3,"It was a good survey, i would like to be part of more such surveys in future. ",51927
2021-05-06 15:00:18,2021-05-06 15:25:46,IP Address,69.137.191.111,100,1528,TRUE,2021-05-06 15:25:47,R_1fjBEX5KXkF1RsC,,,,,32.4062957763672000,-111.06330108642600000,anonymous,EN,Go towards the green ball.,"Go to the red key, pick up red ball, then put red ball next to yellow box.","Go through blue door, go through purple door, go through the next blue door, then stop at red box.","Go to yellow key, then towards the blue box and stop at the purple key.",1,"Go to the blue key, pick up the green box, then put the green box next to the green ball.",Go to the gray ball.,"Open the yellow door, go through the gray door,  open the yellow door, and go to the red ball.",Open the gray door and go to the gray key.,3,"Open the blue door, go to the blue ball.","Pick up yellow box, go to purple key.","Pick up yellow ball, then go to yellow door.",Go to the red door.,2,"Open the green door, then go to the purple ball.",Go to the green key.,Pick up the red box.,Pick up the green box.,"Pick up the red box, open the purple door, then go to the gray ball.",5,The instructions were extremely confusing.,11086
2021-05-06 14:47:02,2021-05-06 15:26:12,IP Address,185.244.38.145,100,2349,TRUE,2021-05-06 15:26:12,R_3EgmTyzPvtQpNvY,,,,,33.95599365234380,-118.388702392578000,anonymous,EN,"go straight, turn right and go straight",go to a red ball,go to the next door,go to purple key,1,go to green box,go to grey ball,go to purple room and go to blue room,go to grey key,3,go to blue key and go to green door and got o purple door and go to blue door,go to the grey door and blue door,go to blue ball and go to green door and go to yellow ball,go to yellow box and go to purple door,2,go to red door and go to blue ball,got o purple door and got o purple box and go to blue door and go to green door and go to blue door,go to grey door and pick the blue key,go to blue door and go to yellow door,go to red door and go to blue door,4,na,34033
2021-05-06 15:13:31,2021-05-06 15:29:12,IP Address,151.65.212.162,100,941,TRUE,2021-05-06 15:29:13,R_1ff9bLHcYGaAJNi,,,,,45.538604736328100,10.210601806640600,anonymous,EN,point towards the green ball,pick up a red ball and then drop it after 3 moves,open the door and go to the green box,go to the purple key,1,pick up the green box e drop it over the green ball,"go to the red box, then to the blue ball and finally to the gray ball",go to the red ball,go to the grey key,3,pick up the green key,pick up the yellow box and open the purple door,pick up a yellow ball and then drop it,"pick up the yellow box, drop it and then go to the red door",2,pick up a blue ball and put it in the same room with a green ball,go to the green key,pick up a blue key and move it in front of a yellow box,pick up the green box,go to the grey ball,3,,39741
2021-05-06 15:10:14,2021-05-06 15:30:02,IP Address,122.178.220.97,100,1187,TRUE,2021-05-06 15:30:03,R_240luRs7R2AY6uR,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,Go to a blue ball,go to a red ball,go to the red box,go to a purple key,1,go to a green box,go to a grey ball,go to the red ball,go to a grey key,3,go to a blue box,go to a purple key,go to a yellow door,go to a red door,2,go to a purple ball,go to the grey box,go to the yellow ball,go to the green box,go to a grey ball,4,good,55639
2021-05-06 14:45:56,2021-05-06 15:30:15,IP Address,151.32.8.163,100,2659,TRUE,2021-05-06 15:30:16,R_3QVFO2sfxfJr2yI,,,,,45.091400146484400,7.6638946533203100,anonymous,EN,Go to the green ball.,bring a red ball to a yellow box,go to a red box,go to the purple key,1,move a green box to a green ball,go to a grey ball,go to the red ball,go to a grey ball and a grey key,3,go between a blue ball and a blue box,bring a yellow box to a purple key,go to the yellow door,go to a red door,2,go to a purple ball,"pick up a grey box, go to a red ball, then go the green key","move the blue key to the green box, then pick up the red box",pick up a green box,"pick up a red box, then go to the grey ball",4,"I found it hard to understand when the AI was interacting with objects, and what its objectives were at any point.",53069
2021-05-06 14:46:14,2021-05-06 15:30:47,IP Address,27.147.205.187,100,2672,TRUE,2021-05-06 15:30:48,R_3nPd59Wm4tVimlL,,,,,23.727203369140600,90.4093017578125,anonymous,EN,The red triangle move to the green circle ,red triangle touch the red ball ,red triangle move to red box ,go to the key ,1,go to the green door  open then back to another green door ,red triangle move to gray ball,open the yellow door then back door then green door then open the yellow door  and last purpled door then hit the red ball ,open 2 black door then take grey key,3,open door and take green key then go to the left box in left down corner ,"the triangle open the red door, black , bule door, then last yellow door and touch the yellow box ",fats go and take purple ball and then last touch the yellow ball ,touch the yellow box and then open the red door ,2,red door open take the bule ball and then open the green door ,open the 6 door and the last door is green there have tow grey box and one green keys one blue keys,take the grey ball and then last hit the red box ,open the blue door than take the green box,open the 2 red door then take the red box,2,,81920
2021-05-06 14:45:30,2021-05-06 15:31:50,IP Address,212.162.148.125,100,2779,TRUE,2021-05-06 15:31:50,R_25SH5LINwTdntcz,,,,,41.8777008056641000,-87.637603759765600,anonymous,EN,go to yellow ball,go to red ball,go to yellow door go to blue door go to  purple door go to blue door,go to purple key,1,go to green box,go to blue ball go to gray ball,go to yellow door go to green door go to gray ball,go to gray ball go to gray key,3,go to green door,go to red door and go to yellow door,go to purple ball,go to yellow ball,2,go to red box,go to blue box,go to purple door go to blue key,go to blue door go to yellow box,go to red door go to purple door,5,,43983
2021-05-06 15:12:48,2021-05-06 15:36:12,IP Address,71.218.243.163,100,1404,TRUE,2021-05-06 15:36:12,R_3UfBAe9pUoeCc0h,,,,,39.7628021240234000,-105.02629852294900000,anonymous,EN,Point at the green ball.,Place red ball in front of yellow box,Go to red box,Go to the purple key,1,Put the green box in front of the green ball,Face a gray ball,Go to the red ball,Go to a grey key,3,Pick up a green key and go between a blue ball and a purple box,Go to a grey key,Move a yellow ball,Move a yellow box and open a red door,2,Open a red door and open a green door,Open a green door and go to a green key,Pick up a red box and go to a yellow key,Pick up a green box and go towards the green door,Open the purple door and go to a grey ball,5,"That was quite difficult, but I tried my hardest, good luck with your research!",96612
2021-05-06 15:13:12,2021-05-06 15:36:19,IP Address,122.178.215.106,100,1386,TRUE,2021-05-06 15:36:19,R_1CeFy25e0iLU3dd,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green boll,go to a red boll,go to a red box,go to a grey key,1,go to a green box,go to a grey boll,go to a red boll,go to a grey key,3,go to a grey box,go to a purblue,go to a yello door,go to a red  door,2,go to a grey boll,go to a grey box,go to a grey door,go to a green door,go to a grey boll,4,GOOD,99297
2021-05-06 15:31:07,2021-05-06 15:41:42,IP Address,185.199.226.8,100,635,TRUE,2021-05-06 15:41:42,R_2dfIVBBkZpxgkZL,,,,,41.8777008056641000,-87.637603759765600,anonymous,EN,got o green ball,go to red ball and go to yellow box,got o blue door and go to red box,go to purple key,1,go to yellow ball and go to green box,got to grey ball,go to yellow door and go to blue door,go to grey door and go to grey key,3,go to blue key and go to green door and go to yellow door and got o green door,open red door and go to blue door ,open green door and get purple ball,go to red door,2,go to red door and get blue ball,open grey door and go to blue door and go to green door,open grey door and get grey ball,open blue door and get green box,open red door and get red box,4,na,94601
2021-05-06 15:22:31,2021-05-06 15:42:36,IP Address,45.87.62.33,100,1205,TRUE,2021-05-06 15:42:37,R_3Jx9A0Jn8s5j9xa,,,,,32.8137054443359000,-96.87039947509770000,anonymous,EN,go to the red box,Go to the red ball,go to the blue gate go to the blue gate and go to the key,go to the purple key,1,go to the purple box,Go to the red box and blue ball and grey ball,go through the yellow gate and purple gate and yellow gate,Go to the grey key,3,go to the blue hole,Go to the grey box,Go to the yellow box,Open the red door,2,go to the green ball,go to the green key,Go to the blue key and red box,Go to the green door,go to the grey ball,5,none,74413
2021-05-06 15:19:49,2021-05-06 15:42:50,IP Address,207.194.177.237,100,1381,TRUE,2021-05-06 15:42:50,R_1OZuHxs3vGlCEGp,,,,,49.2819976806641000,-123.11029815673800000,anonymous,EN,Face the green ball.,Place the red ball next to the yellow square.,Go to the red box.,Go to the purple key.,1,Place the green box on top of the green ball.,Go to the grey ball next to the yellow ball.,Go to the red ball.,Open the door and go to the grey key.,3,Go between the blue ball and purple box.,Go to the purple key.,Move the yellow ball and go to the yellow door.,Go to the red door.,2,go to the purple ball,go to the grey box,pick up a red box,go to the green door,go to a grey ball,4,"I remember the instructions saying to only give an instruction for the final action, but the suggestions given after every task seemed off and some even mentioned things I would not have thought about mentioning at all. I am really wondering if that was intentional. Anyway, very fun task and thanks so much for the opportunity! ",14580
2021-05-06 15:21:47,2021-05-06 15:43:19,IP Address,99.246.78.86,100,1292,TRUE,2021-05-06 15:43:20,R_vGpI7EK6IMh1f0J,,,,,43.5751953125,-79.62960052490230000,anonymous,EN,Red triangle pointing towards green circle,Go to second red circle,Go to red box by opening different doors.,Go to the purple key,1,First go to top most green box then come back to place and stop when you find second green box,Go to grey circle,Go to the re ball by catching yellow key and then blue key,go to the grey key,3,Open the green door then purple door then yellow door then come back to left bottom square,open yellow box using puple key,go to the yellow ball using purple ball and red box,Open the red door,2,open red door catch blue ball then open green door and go to purple ball,Go to green key using the gray box.,pick up gray ball put it again at its place then pick up red box.,pickup green box,open red box and go to gray ball,4,Very unpredictable answers.,70382
2021-05-06 15:15:28,2021-05-06 15:45:35,IP Address,67.140.124.120,100,1806,TRUE,2021-05-06 15:45:35,R_2b34AR25PSeCb6R,,,,,33.4084930419922000,-94.1819000244141000,anonymous,EN,go to a green ball,put a red ball next to the yellow box,"go through a black door, go through a blue door, go through a purple door, go through a blue door, and find a red box",go to a purple key,1,get a green box and place it next to a green ball,"go to a red box, then go to a blue ball, then go to a gray ball","go through a purple door, then go to a red ball","go through a gray door, then go to a gray key",3,"get a green key, open a blue door",get a yellow box,"go to a purple ball, then move it out of the way, then go to a yellow ball, then move it","go to a yellow box, then go to a red door",2,pick up a blue ball and go to a purple ball,"pick up a gray box, then open a green door and go to a green key","get a blue key and put it next to a yellow box, then get a red box",open a blue door and pick up a green box,pick up a red box then go to a gray ball,5,,85118
2021-05-06 15:11:14,2021-05-06 15:45:43,IP Address,64.39.93.121,100,2068,TRUE,2021-05-06 15:45:43,R_7Q9tJ2s9V5FMaBz,,,,,45.6573944091797000,-68.71019744873050000,anonymous,EN,Move down right two steps and then upward pick up the green ball.,Go to a red ball.,Get to the blue crate.,get to a purple key,2,pick up a green box then end up a green box,go to the grey ball,"go through yellow door, pick up orange box, go through two more doors","go through red box, go through door, pick up grey key",3,go to blue box,go to the purple key,go to purple door aim at purple box,pick up box go through purple door,2,walk towards purple box get blue key,"go through purple door, pick up grey box, go through blue door, go through green door, go through green door, ",pick up blue box get green key,go through yellow door and go to a green box,"go to red key, get purple box",3,,34130
2021-05-06 15:26:54,2021-05-06 15:46:09,IP Address,97.104.203.83,100,1154,TRUE,2021-05-06 15:46:10,R_2zYgKMx4FRZcw0a,,,,,28.4882965087891000,-81.406097412109400,anonymous,EN,go to green ball.,put red ball next to yellow box.,"travel through the gray door, through the purple door, through the blue door, until you reach the green box.",move to the right of the purple key.,1,moive to pick up the green box and set it down next to the green ball.,move to the south side of the gray ball.,move through the doors until you reach the red ball.,travel to the right side of the gray key.,3,"travel through the western green door, go through the southern door, continue through the eastern green door, move to pick up the key and go through the right door.",move to pick up the yellow box and bring it back to the room with the gray ball.,move the purple ball to the room directly east of it. move to the yellow ball.,move through the south red door.,2,"open the red door, pick up the blue ball and move it to the room with the green ball. ",pick up the gray box and take it to the room with the two other gray boxes.,move the gray ball to the room to the east of it.,pick up a green box,"pick up the red box, put the red box down and travel to the gray ball.",4,,60971
2021-05-06 15:30:52,2021-05-06 15:53:08,IP Address,122.178.213.223,100,1336,TRUE,2021-05-06 15:53:08,R_3I4tSobw4W1gjER,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a blue ball,go to the red ball,go to the red box,go to the purple key,1,go to a green box,go to the grey ball,go to the red ball,go to the grey key,3,go to the blue ball,go to the purple key,go to the yellow box,go to the red door,2,go to the purple ball,go to the grey box,go to the yellow key.,go to the green door.,go to the grey ball.,4,Good,26357
2021-05-06 15:27:06,2021-05-06 15:53:21,IP Address,75.136.159.132,100,1574,TRUE,2021-05-06 15:53:22,R_zeeOS8gABNaVqNP,,,,,34.5251007080078000,-82.63069915771480000,anonymous,EN,the red triangle turned towards the green circle,the red triangle put the circle in the box,the red triangle went two rooms to the left to a box,get the key,1,get the green box and then get the other green box,get the blue circle and then the grey one,"open the south door, get the gold key, go into the east room, go into the norm room, go back down to the south room, opoen the door on the right, go up to the top room and get the red ball",get the grey key,3,"get the blue key, open the blue door, open the north gold door, open the east gold door, get the green key and open the green box",get the blue key,move the yellow dot,get the blue circle,2,move the blue dot and go through the south door,get the green key,get the blue key and then the red thing,get the yellow thing and open the green door,open the red door get the green thing,5,,16571
2021-05-06 15:30:23,2021-05-06 15:55:29,IP Address,173.28.223.182,100,1505,TRUE,2021-05-06 15:55:29,R_27kyLbnPEpF6ikS,,,,,41.662200927734400,-91.51490020751950000,anonymous,EN,Face green circle,Drop red circle above yellow square.,Navigate through blue squares to the left most red square ,Navigate to the purple key,1,Navigate to green square.  Place green square above green circle.,Navigate to red square. Turn to blue circle. Move up to Grey circle.,Navigate to red circle.,Pass through grey door then move to key.,3,Move above purple square.,Navigate below purple key.,Move in front of yellow door.,Move between red door and purple circle.,2,Navigate between wall and purple circle.,Navigate to left side of grey square.,Navigate up to wall then turn left.,Move to face green door.,Move to grey circle.,5,Videos often ended with several frames the looked to be from a different task. Instructions say to describe final actions in the video but the answers provided detailed multiple steps; I found this confusing. ,45538
2021-05-06 15:49:53,2021-05-06 16:06:52,IP Address,100.6.178.120,100,1018,TRUE,2021-05-06 16:06:53,R_2TuTP7hV6tHZ0Ms,,,,,40.368499755859400,-80.0503997802734000,anonymous,EN,Pick up the green ball,move the red ball,go to the red box,find the purple key,1,bring the green box to the green ball,find a gray ball near a red box,go to the red ball,go to the grey key,3,go to the grey box,move the yellow box,move a yellow ball,go to the red door,2,go to a purple ball,bring a gray box to another gray box,move a blue key and a red box,pick up a green box,go to a grey ball,2,,79506
2021-05-06 15:46:35,2021-05-06 16:11:46,IP Address,73.123.35.54,100,1510,TRUE,2021-05-06 16:11:46,R_2Ttwix7btKym4NI,,,,,42.5301055908203000,-71.75530242919920000,anonymous,EN,The robot picked up a green ball,bring the red ball to the yellow door,go to the red door that is next to the green door.,find the purple key,1,"go to the yellow ball, go to the blue key, go to the green door move it next to the green ball","go to the blue ball , then go up to the gray ball",Go through the purple door to find the red ball,Go through the gray door and find the gray key,3,Go to the blue ball,Go to the purple key,Move the yellow ball.,go to the yellow box and then to the purple ball,2,go through the green door to the purple ball,go through the green door and stop at the green key,move the blue key next to the yellow box pick up red box,go through the blue door and pick up the green box,go through a purple door to the gray ball,5,that felt impossible even though I replayed many of the videos trying to get the right answer.,82069
2021-05-06 15:54:36,2021-05-06 16:15:26,IP Address,122.178.212.216,100,1249,TRUE,2021-05-06 16:15:27,R_yCo2PWPuoGhuRrP,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to the blue ball,go to the red ball,go to the red box,go to the purple key,1,go to the green box,go to the grey ball,go to the red ball,go to a grey key,3,go to a blue ball,go to the purple key,go to the yellow ball,go to the red box,2,go to the purple ball,go to the grey box,go to the red ball,go to the green door.,go to the grey ball,4,Good,13070
2021-05-06 15:51:24,2021-05-06 16:18:57,IP Address,177.131.168.125,100,1653,TRUE,2021-05-06 16:18:58,R_2xSj300lP81j8LT,,,,,-20.38800048828130,-40.3209075927734000,anonymous,EN,he went towards the green ball,drop the red ball on top of the yellow box,stay close to the nearest green and red boxes,go by the side of the purple key,1,place the green box on top of the blue ball,stay under the nearest gray ball,go to the red ball,go to the nearest gray key,3,take the green key and stay under the blue ball next to the maix,take the yellow box and stay under the purple key,take the yellow ball out of the yellow door,go under the purple ball,2,go to the side of the purple ball,stand next to the gray box at the bottom of the frame,take the red box and stay in the upper right corner of the last room you left,take the green box and stay close to the green door,stay close to the gray ball,2,it was an honor to help in the research,47602
2021-05-06 16:00:50,2021-05-06 16:21:40,IP Address,122.178.212.213,100,1250,TRUE,2021-05-06 16:21:40,R_1jiCZ9F90R7lavn,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green ball ,go to a red ball ,go to a red box,go to a purple key,1,go to a green box ,go to a grey ball,go to a red  ball ,open a grey door,3,go to a blue ball,go to a purple key ,go to a yellow box ,go to a red  door,2,go to a purple ball ,go to a yellow key ,go to a blue door ,go to a green door ,go to a a grey ball,3,good,64277
2021-05-06 15:52:34,2021-05-06 16:22:26,IP Address,173.89.140.58,100,1791,TRUE,2021-05-06 16:22:26,R_3D7qemifWuZ8Xli,,,,,42.906005859375,-88.123199462890600,anonymous,EN,red triangle is going to straight and turn right.,go to a red ball ,go to a red square .,go to a key ,1,go to the green box and take the green box and output the green box ,go to the blue ball and go to the silver ball .,open a yellow door and open a green door next open a blue door go to the red ball.,open a red door and open a green door and go to the grey key .,3,open a colors doors and picked a green key .,go to the grey ball ,picked to the blue ball and drop the blue ball next picked the yellow ball and dropped to the yellow ball.,go to the grey box,2,picked blue ball and dropped the blue ball ,picked to the green box ,picked to the blue key and dropped to the blue key next picked to the red box .,picked green box ,go to the grey ball ,4,good study ,89464
2021-05-06 16:02:13,2021-05-06 16:23:36,IP Address,122.178.213.239,100,1282,TRUE,2021-05-06 16:23:36,R_doJPpzJGszxVSYF,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green ball,go to a red ball,go to a red box,go to a purple key,1,go to a green box,go to a grey ball,go to a red ball,go to a grey key,3,go to a purple box,go to a purple key,go to a yellow box,go to a red box,2,go to a purple ball,go to a grey box,go to a blue box,go to a green box ,go to a grey ball,4,Good,23045
2021-05-06 16:12:20,2021-05-06 16:29:58,IP Address,122.178.220.83,100,1058,TRUE,2021-05-06 16:29:58,R_vehaWIvTB9DOOOd,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green boll,go to a red boll,go to a red box,go to a burple key,1,go to a green box,go to a grey boll,go to a red boll,go to a grey key,3,go to a grey box,go to a purple key,go to a yello door,go to a red box,2,go to a purple boll,go to a grey box,go to a grey door,go to a green door,go to a grey boll,3,good,60426
2021-05-06 16:16:24,2021-05-06 16:34:08,IP Address,122.178.220.83,100,1063,TRUE,2021-05-06 16:34:08,R_zZJR3nuz8WCae7T,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to the green ball,go to the red ball,go to the red box,go to the purple key,1,go to the green box,go to the grey ball,go to the red ball,go to the grey key,3,go to the purple box,go to the purple ball,go to the yellow ball,go to the red box,2,go to a purple ball.,go to the grey box,go to the yellow key,go to the green box,go to the grey ball,4,good,96647
2021-05-06 16:13:44,2021-05-06 16:36:38,IP Address,122.178.212.182,100,1374,TRUE,2021-05-06 16:36:39,R_2wGdPYx3j7cZnkS,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green ball,go to a red ball,go to a red box,go to a purple key,1,go to a green box,go to a grey ball,go to a red ball,go to a grey key,3,go to a purple box,go to a purple key,go to a yellow box,go to a red box,2,go to a purple ball,go to a grey box,go to a blue door,go to a green door,go to a grey ball ,3,Good,84291
2021-05-06 16:07:56,2021-05-06 16:37:34,IP Address,122.178.212.213,100,1778,TRUE,2021-05-06 16:37:36,R_29okuetfW7xAUVu,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green ball ,go to a red ball ,go to a red box ,go to a purple key ,1,go to a green box ,go to a grey ball ,go to a red ball ,go to a grey key ,3,go to a blue box ,go to a purple key,go to a yellow ball,go to a red door ,2,go to a purple ball,go to a green key ,go to a blue door ,go to a green door ,go to a grey ball ,4,good ,33923
2021-05-06 16:04:42,2021-05-06 17:02:22,IP Address,179.211.128.6,100,3459,TRUE,2021-05-06 17:02:22,R_12mrKy7lDDc4RBP,,,,,-22.80419921875,-43.364105224609400,anonymous,EN,red pointer faces green ball,"go to a red key, then go to red ball, then put the red ball in the door",go to the red box,go to a purple key,1,"go to the yellow ball, then go to the blue key, then pick the green box, then put green box next to the green ball ","go to the red box, then go to the blue box then go the the grey box","open the purple door, then go to the red ball","open the grey door, then go to the grey key",3,"open green door, then pick the green key, then open blue door, then go to the purple box",open the blue door then open the grey door,open purple door then pick the yellow ball,take yellow box then go to the red door,2,open red door then open green door,open the green door,pick up the red box,pick up the green box,go to the grey ball,5,,63434
2021-05-06 17:53:26,2021-05-06 18:12:50,IP Address,122.178.213.204,100,1164,TRUE,2021-05-06 18:12:51,R_2EfUPWcjIrz9tvo,,,,,11.0142059326172000,76.994110107421900,anonymous,EN,go to a green ball ,go to a red ball ,go to a red box ,go to a purple key ,1,go to a green box ,go to a grey ball  ,go to a red ball ,go to a grey key,3,go to a blue ball ,go to a purple key,go to a yellow door ,go to a red door ,2,go to a purple ball ,go to a green key ,go to a grey ball ,go to a green door ,go to a grey ball ,4,good ,26782
